protocol,comparison,attention_experiment,baseline_experiment,attention_mean,baseline_mean,mean_difference_pp,sd_difference,ci95_lower,ci95_upper,t_statistic,p_ttest_raw,p_ttest_holm,cohens_dz,wilcoxon_statistic,p_wilcoxon_raw,p_wilcoxon_holm,positive_folds,negative_folds,zero_folds,interpretation
Image-level Stratified 5-Fold,E2 vs E1,E2,E1,84.67599259740498,83.41824654164921,1.2577460557557458,1.144876491055102,-0.1638058655772281,2.6792979770887198,2.4565144808853705,0.06995314321226533,0.5596251456981226,1.0985866733944594,0.0,0.0625,0.5,5,0,0,"The attention model was numerically higher, but not statistically significant after Holm correction; paired effect size was large (Cohen's dz=1.10)."
Image-level Stratified 5-Fold,E3 vs E1,E3,E1,83.06278547465018,83.41824654164921,-0.355461066999041,2.1432553079395293,-3.0166640218266765,2.3057418878285945,-0.3708541423973409,0.7295513695885132,1.0,-0.1658510144275682,6.0,0.8125,1.0,2,3,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was negligible (Cohen's dz=-0.17)."
Image-level Stratified 5-Fold,E4 vs E1,E4,E1,82.36044635530979,83.41824654164921,-1.057800186339429,2.972331025567808,-4.748436611531048,2.6328362388521898,-0.7957771536617659,0.4707164659183382,1.0,-0.3558823621058009,5.0,0.625,1.0,2,3,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was small (Cohen's dz=-0.36)."
Image-level Stratified 5-Fold,E5 vs E1,E5,E1,81.89873192885868,83.41824654164921,-1.5195146127905361,1.5815742726079085,-3.483298447573082,0.4442692219920097,-2.148326528732205,0.09816576506627847,0.6871603554639493,-0.9607608312222731,1.0,0.125,0.875,1,4,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was large (Cohen's dz=-0.96)."
Lesion-level Group 5-Fold,E7 vs E6,E7,E6,70.51324772659736,72.58116101257554,-2.067913285978176,3.461334618360507,-6.365727867332783,2.229901295376431,-1.335899353530969,0.2525218489113239,1.0,-0.5974323531186541,4.0,0.4375,1.0,2,3,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was moderate (Cohen's dz=-0.60)."
Lesion-level Group 5-Fold,E8 vs E6,E8,E6,73.95868167465649,72.58116101257554,1.3775206620809683,3.6551778329697773,-3.1609820601500553,5.916023384311992,0.8427031410181544,0.4468348152707433,1.0,0.3768683016338369,4.0,0.4375,1.0,3,2,0,"The attention model was numerically higher, but not statistically significant after Holm correction; paired effect size was small (Cohen's dz=0.38)."
Lesion-level Group 5-Fold,E9 vs E6,E9,E6,72.23204437373185,72.58116101257554,-0.34911663884367955,2.923236872104888,-3.9787946211581007,3.2805613434707412,-0.2670493602417522,0.802634055114323,1.0,-0.1194281045696775,7.0,1.0,1.0,2,3,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was negligible (Cohen's dz=-0.12)."
Lesion-level Group 5-Fold,E10 vs E6,E10,E6,72.01611431761249,72.58116101257554,-0.5650466949630356,4.728228347590121,-6.4359176094521615,5.305824219526091,-0.26722119312255854,0.8025107535990905,1.0,-0.11950495057012805,5.0,0.625,1.0,2,3,0,"The attention model was numerically lower, but not statistically significant after Holm correction; paired effect size was negligible (Cohen's dz=-0.12)."
